"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Should successfully update contact details","","2026-09-24","passed","2026-09-24","","com.contactlist.test.UpdateContactTest","com.contactlist.test.UpdateContactTest","updateContactCityReturnsSuccess"
"","54","Should throw an error when creating a user without a email","","2026-09-24","passed","2026-09-24","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutEmailShowsError"
"","71","Should throw an error when creating a user without a password","","2026-09-24","passed","2026-09-24","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutPasswordShowsError"
"","233","Adding a new contact with valid data","","2026-09-24","passed","2026-09-24","","com.contactlist.test.AddContactTest","com.contactlist.test.AddContactTest","addContactWithValidDataReturnsSuccess"
"","2747","Should successfully retrieve the contact list","","2026-09-24","passed","2026-09-24","","com.contactlist.test.GetContactListTest","com.contactlist.test.GetContactListTest","getContactListSuccess"
"","289","Should throw an error when creating a duplicate user","","2026-09-24","passed","2026-09-24","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserDuplicateDataShowsError"
"","227","Should throw an error when logging in a user without a password","","2026-09-24","passed","2026-09-24","","com.contactlist.test.LoginUserTest","com.contactlist.test.LoginUserTest","loginUserWithoutPasswordShowsError"
"","53","Should throw an error when creating a user without a last name","","2026-09-24","passed","2026-09-24","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutLastNameShowsError"
"","221","Adding a contact without a first name fails with an error","","2026-09-24","passed","2026-09-24","","com.contactlist.test.AddContactTest","com.contactlist.test.AddContactTest","addContactWithoutFirstNameShowsError"
"","249","Should log in the user","","2026-09-24","passed","2026-09-24","","com.contactlist.test.LoginUserTest","com.contactlist.test.LoginUserTest","loginUserSuccess"
"","65","Should throw an error when creating a user without a first name","","2026-09-24","passed","2026-09-24","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutFirstNameShowsError"
